symbol,company,market_cap_cr,rank,cap_tier
544603,Billionbrains Garage Ventures,95901.88,113,Mid
540699,Dixon Technologies (India) Lim,95876.49,114,Mid
532822,VODAFONE IDEA LIMITED,94047.77,115,Mid
517354,HAVELLS INDIA LTD.,93918.19,116,Mid
531642,MARICO LTD.,93869.34,117,Mid
500104,HINDUSTAN PETROLEUM CORPORATIO,93187.56,118,Mid
544277,Waaree Energies Limited,92834.51,119,Mid
544252,Bajaj Housing Finance Limited,91541.61,120,Mid
500096,DABUR INDIA LTD.,90962.01,121,Mid
500257,LUPIN LTD.,90702.50,122,Mid
533148,JSW ENERGY LTD,90092.40,123,Mid
540133,ICICI Prudential Life Insuranc,89707.08,124,Mid
533179,PERSISTENT SYSTEMS LTD.,89266.68,125,Mid
544162,Bharti Hexacom Limited,88892.40,126,Mid
532777,INFO EDGE (INDIA) LTD.,88707.76,127,Mid
503806,SRF LTD.,88539.71,128,Mid
500103,BHARAT HEAVY ELECTRICALS LTD.,87271.84,129,Mid
543187,HITACHI ENERGY INDIA LIMITED,86858.01,130,Mid
544632,Meesho Limited,86452.03,131,Mid
544289,NTPC GREEN ENERGY LIMITED,84832.94,132,Mid
543390,PB Fintech Limited,83049.35,133,Mid
533098,NHPC LTD.,83001.88,134,Mid
543066,SBI CARDS AND PAYMENT SERVICES,82604.93,135,Mid
500477,ASHOK LEYLAND LTD.,82078.91,136,Mid
532667,SUZLON ENERGY LTD.,79526.98,137,Mid
540691,Aditya Birla Capital Ltd,79362.02,138,Mid
543396,One 97 Communications Limited,76908.32,139,Mid
532388,INDIAN OVERSEAS BANK,74120.30,140,Mid
532466,ORACLE FINANCIAL SERVICES SOFT,74085.04,141,Mid
544600,Lenskart Solutions Limited,73287.72,142,Mid
522275,GE Vernova T&D India Limited,72679.42,143,Mid
542649,Rail Vikas Nigam Limited,70914.02,144,Mid
533274,PRESTIGE ESTATES PROJECTS LTD.,70851.82,145,Mid
512455,LLOYDS METALS AND ENERGY LTD.,70818.96,146,Mid
532539,UNO Minda Limited,70476.50,147,Mid
532843,FORTIS HEALTHCARE LTD.,70000.68,148,Mid
543384,FSN E-Commerce Ventures Limite,68636.17,149,Mid
533106,OIL INDIA LTD.,68181.46,150,Mid
542066,ADANI TOTAL GAS LIMITED,67979.87,151,Mid
506395,COROMANDEL INTERNATIONAL LTD.,67915.15,152,Mid
540755,General Insurance Corporation,66431.89,153,Mid
532648,YES BANK LTD.,66365.05,154,Mid
544307,Vishal Mega Mart Limited,66115.14,155,Mid
500488,ABBOTT INDIA LTD.,65871.14,156,Mid
532779,TORRENT POWER LTD.,65811.80,157,Mid
524804,AUROBINDO PHARMA LTD.,65677.44,158,Mid
526371,NMDC LTD.,65186.37,159,Mid
539523,Alkem Laboratories Limited,64336.27,160,Mid
509480,BERGER PAINTS INDIA LTD.,64186.04,161,Mid
500290,MRF LTD.,64072.74,162,Mid
500368,Patanjali Foods Limited,63746.91,163,Mid
533150,GODREJ PROPERTIES LTD,63667.84,164,Mid
544429,HDB FINANCIAL SERVICES LIMITED,63476.76,165,Mid
533519,L&T Finance Limited,63084.07,166,Mid
543994,JSW Infrastructure Limited,62718.71,167,Mid
505790,Schaeffler India Limited,62598.42,168,Mid
532187,INDUSIND BANK LTD.,62528.05,169,Mid
532508,JINDAL STAINLESS LTD.,61867.59,170,Mid
540611,AU Small Finance Bank Limited,61420.12,171,Mid
500830,COLGATE-PALMOLIVE (INDIA) LTD.,61273.12,172,Mid
533273,OBEROI REALTY LTD.,61134.68,173,Mid
500493,BHARAT FORGE LTD.,61062.14,174,Mid
512070,UPL LIMITED,60521.71,175,Mid
532541,COFORGE LIMITED,59323.62,176,Mid
503100,THE PHOENIX MILLS LTD,57964.35,177,Mid
532149,BANK OF INDIA,57802.62,178,Mid
539437,IDFC FIRST BANK LIMITED,57664.29,179,Mid
540762,Tube Investments of India Ltd,57612.95,180,Mid
542830,Indian Railway Catering and To,57368.63,181,Mid
541143,Bharat Dynamics Limited,57203.13,182,Mid
523642,P.I.INDUSTRIES LTD.,55993.66,183,Mid
532892,MOTILAL OSWAL FINANCIAL SERVIC,55870.25,184,Mid
532296,GLENMARK PHARMACEUTICALS LTD.,55712.57,185,Mid
500271,Max Financial Services Limited,55402.53,186,Mid
500113,STEEL AUTHORITY OF INDIA LTD.,54436.25,187,Mid
500469,FEDERAL BANK LTD.,54269.80,188,Mid
540767,NIPPON LIFE INDIA ASSET MANAGE,53988.84,189,Mid
526299,MPHASIS LTD.,53515.51,190,Mid
543278,Kalyan Jewellers India Limited,53383.73,191,Mid
523457,Linde India Limited,53245.89,192,Mid
